Year,Region of workplace,Less than 20 mins,Less than 40 mins,Less than 60 mins,Less than 90 mins,Car,Motorcycle,Bicycle,Bus or coach,National rail,Other rail,Walk,Other modes,Number in employment
2020,Tyne and Wear,36.4,78.6,92.4,98.8,69.9,0.8,2.9,11.5,0.5,2.8,10.9,0.5,559.0
2020,Rest of North East,54.5,89.2,95.7,97.9,78.9,0.5,2.0,3.6,0.5,0.5,13.7,[u],604.0
2020,North West,39.8,78.2,90.8,97.8,74.9,1.1,2.2,6.9,3.5,1.4,9.0,0.9,3410.0
2020,Greater Manchester,32.9,71.6,85.4,96.3,71.7,1.5,2.1,6.5,5.1,3.5,8.3,1.2,1359.0
2020,Merseyside,35.9,78.2,92.6,99.4,66.7,1.5,1.0,12.6,6.1,0.5,10.8,0.5,611.0
2020,Rest of North West,48.0,84.3,95.0,98.6,81.4,1.0,2.4,4.7,1.0,0.5,8.9,0.5,1440.0
2020,Yorkshire and The Humber,38.2,80.0,91.7,97.7,76.4,0.5,3.1,5.6,2.4,0.5,10.9,0.8,2523.0
2020,South Yorkshire,42.4,82.9,92.2,97.7,76.6,0.8,2.2,5.4,0.5,2.0,12.3,0.2,601.0
2020,West Yorkshire,32.7,76.4,90.1,97.7,74.8,1.0,2.2,7.9,3.7,1.0,8.2,1.0,1168.0
2020,Rest of Yorkshire and The Humber,43.7,83.5,93.7,97.7,78.6,1.0,5.3,2.4,0.5,1.0,10.7,0.5,753.0
2020,East Midlands,46.2,83.8,93.6,98.2,79.1,0.7,4.0,4.0,1.1,0.6,9.7,0.7,2187.0
2020,West Midlands,42.2,79.8,91.7,96.7,80.7,1.0,2.1,4.9,1.5,1.0,7.4,0.9,2746.0
2020,West Midlands (metropolitan county),36.3,74.7,89.8,95.9,75.2,0.7,2.5,8.4,5.4,0.2,6.5,1.2,1343.0
2020,Rest of West Midlands,48.1,84.9,93.6,97.6,86.2,0.4,1.7,1.3,1.6,0.3,8.3,0.3,1403.0
2020,East of England,44.1,80.8,92.0,98.1,77.2,0.7,4.3,3.4,3.0,0.3,10.0,0.7,2752.0
2020,London,15.2,43.3,66.3,89.7,26.7,0.7,6.5,11.2,22.9,22.3,8.7,0.9,5289.0
2020,Central London,6.6,30.2,58.2,86.4,8.9,0.9,7.8,8.4,34.4,31.8,7.0,0.8,1970.0
2020,Rest of Inner London,15.4,40.1,62.8,89.0,19.7,1.0,8.1,12.3,22.1,23.3,12.4,1.4,1534.0
2020,Outer London,28.6,66.3,81.9,95.6,56.2,0.5,3.5,14.1,8.2,8.7,7.9,0.5,1785.0
2020,South East,43.3,78.2,90.9,97.1,75.6,0.9,3.4,3.9,4.1,0.4,11.1,0.6,4377.0
2020,South West,45.7,82.4,92.8,98.5,75.8,0.7,5.1,3.4,1.4,0.2,12.7,0.8,2735.0
2020,England,37.5,73.2,87.0,96.2,67.3,0.7,3.9,6.0,6.6,4.6,10.0,0.8,27181.0
2020,Wales,49.5,85.4,94.9,98.3,82.6,0.3,1.7,2.4,2.5,0.4,9.8,0.3,1388.0
2020,Scotland,43.7,82.0,91.5,96.6,68.5,0.5,3.3,7.7,3.9,0.5,14.3,1.5,2597.0
2020,Great Britain,38.6,74.5,87.7,96.3,68.1,0.7,3.8,6.0,6.2,4.1,10.3,0.8,31166.0
2021,North East,44.3,85.7,94.3,98.4,75.9,0.1,2.5,6.6,1.0,2.5,10.5,1.0,1161.0
2021,Tyne and Wear,36.5,82.5,93.5,98.8,69.9,0.5,3.0,10.4,0.5,4.8,10.0,0.5,544.0
2021,Rest of North East,51.1,88.5,94.9,98.1,81.0,0.1,2.0,3.4,0.5,1.0,10.9,1.0,618.0
2021,North West,41.8,79.5,91.4,97.7,73.3,0.4,2.5,6.9,3.6,1.7,10.6,1.1,3400.0
2021,Greater Manchester,34.0,74.4,88.7,97.4,68.3,0.8,2.7,9.8,3.7,4.1,10.0,1.0,1319.0
2021,Merseyside,34.9,75.3,89.4,97.0,67.9,0.8,1.5,10.5,8.0,0.5,10.5,0.5,629.0
2021,Rest of North West,51.3,85.5,94.7,98.1,79.8,0.4,2.8,3.0,1.9,0.5,11.2,0.5,1451.0
2021,Yorkshire and The Humber,45.2,82.6,92.2,97.6,74.8,0.4,3.6,4.7,2.0,0.5,12.3,1.3,2527.0
2021,South Yorkshire,43.8,82.7,91.5,97.0,77.4,0.3,4.0,6.0,1.0,0.5,10.0,0.5,623.0
2021,West Yorkshire,42.6,80.9,90.7,97.3,75.1,0.3,2.1,4.8,3.6,1.0,11.4,2.1,1114.0
2021,Rest of Yorkshire and The Humber,49.7,84.8,94.9,98.3,72.6,0.3,6.5,3.8,0.5,0.5,15.1,0.5,789.0
2021,East Midlands,46.6,84.5,94.8,98.5,79.8,0.1,3.5,5.0,0.8,0.5,9.7,0.5,2211.0
2021,West Midlands,42.0,80.7,92.0,97.5,78.5,0.9,1.8,6.7,2.0,0.8,8.2,0.9,2803.0
2021,West Midlands (metropolitan county),37.1,77.1,89.2,96.2,74.5,0.4,1.8,10.3,4.9,1.0,6.5,1.0,1418.0
2021,Rest of West Midlands,47.4,84.4,95.1,98.9,82.6,0.5,1.9,3.1,1.0,0.5,9.9,0.5,1385.0
2021,East of England,43.5,82.2,93.2,97.9,76.5,0.8,4.9,3.6,2.1,0.5,10.5,1.0,2920.0
2021,London,17.3,47.4,68.6,90.7,27.3,0.7,6.7,11.9,20.3,21.6,10.2,1.2,5191.0
2021,Central London,7.0,28.2,54.8,85.9,9.8,1.5,9.1,7.4,34.4,31.5,6.5,0.5,1548.0
2021,Rest of Inner London,17.3,51.1,72.0,93.3,18.3,1.4,8.1,16.4,15.8,25.4,13.1,1.4,1641.0
2021,Outer London,29.8,67.8,82.6,94.4,53.5,0.8,3.0,12.9,9.1,7.9,11.7,1.2,2002.0
2021,South East,45.6,79.6,90.5,96.9,74.7,0.5,3.0,3.2,4.2,0.5,13.4,0.7,4372.0
2021,South West,46.0,81.8,92.6,97.8,75.0,1.0,4.0,3.7,1.8,[u],13.5,0.9,2812.0
2021,England,39.6,75.5,88.1,96.4,67.4,0.6,3.9,6.1,5.7,4.2,11.2,0.9,27397.0
2021,Wales,48.0,84.7,94.3,98.4,81.5,0.5,0.5,4.1,1.8,0.5,9.5,1.5,1425.0
2021,Scotland,43.6,81.4,92.2,97.7,68.0,0.4,2.9,8.3,4.2,0.5,14.3,1.0,2632.0
2021,Great Britain,40.3,76.4,88.7,96.6,68.1,0.6,3.6,6.2,5.4,3.7,11.4,1.0,31454.0
2022,North East,46.3,83.9,94.5,98.5,76.0,0.5,1.6,7.7,0.8,2.3,10.5,0.6,1161.0
2022,Tyne and Wear,36.3,77.3,92.9,97.4,70.0,0.9,0.8,11.6,0.6,4.9,9.9,1.3,533.0
2022,Rest of North East,55.4,90.0,95.9,99.5,80.9,0.6,2.3,4.0,0.3,0.6,10.0,1.3,628.0
2022,North West,43.8,80.5,92.2,97.7,75.6,1.0,2.3,5.1,3.6,1.5,9.8,1.1,3467.0
2022,Greater Manchester,34.1,74.1,88.7,96.5,73.6,1.5,2.7,6.9,4.6,1.6,8.6,0.5,1393.0
2022,Merseyside,50.0,84.9,94.3,98.7,69.0,0.6,1.6,7.2,6.9,1.0,10.8,2.9,615.0
2022,Rest of North West,50.2,84.4,94.6,98.4,81.0,1.3,2.2,2.6,1.4,0.2,10.5,0.8,1459.0
2022,Yorkshire and The Humber,40.3,82.4,93.7,99.1,74.8,0.6,2.9,6.9,1.7,0.4,12.0,0.7,2585.0
2022,South Yorkshire,42.9,83.6,92.3,98.9,76.8,0.4,2.3,7.9,1.2,1.3,9.7,0.4,623.0
2022,West Yorkshire,31.3,78.9,93.5,99.0,78.7,0.5,1.5,7.3,2.2,0.1,8.7,1.0,1128.0
2022,Rest of Yorkshire and The Humber,48.4,85.3,94.9,99.2,68.7,1.0,4.8,5.5,1.5,0.2,18.1,0.2,834.0
2022,East Midlands,42.7,84.2,94.3,99.0,78.3,1.4,3.0,5.0,1.3,0.4,9.9,0.7,2232.0
2022,West Midlands,41.0,81.2,91.5,97.4,77.9,0.5,2.2,5.5,3.0,0.2,9.7,1.0,2774.0
2022,West Midlands (metropolitan county),32.5,77.3,88.4,96.4,72.8,0.3,2.5,9.4,5.5,0.3,7.4,1.8,1357.0
2022,Rest of West Midlands,49.1,84.9,94.4,98.4,82.4,0.5,1.9,2.1,0.5,0.3,11.7,0.6,1416.0
2022,East of England,45.6,82.8,93.3,98.0,76.7,0.3,4.3,3.8,2.8,0.6,11.2,0.3,2899.0
2022,London,16.4,46.5,68.4,91.1,29.0,0.9,5.8,12.5,17.3,23.1,10.9,0.5,5193.0
2022,Central London,7.7,31.5,60.7,88.9,11.1,0.8,7.1,9.5,28.0,35.3,7.8,0.4,1519.0
2022,Rest of Inner London,16.2,42.9,63.4,91.5,22.2,1.5,7.7,16.2,15.7,23.3,12.8,0.6,1650.0
2022,Outer London,28.5,69.8,82.6,93.8,54.8,0.5,2.8,13.1,6.7,9.0,12.6,0.5,2024.0
2022,South East,42.7,81.0,90.1,96.6,73.7,0.9,4.0,3.6,4.8,0.6,11.5,0.9,4446.0
2022,South West,48.3,84.0,93.6,97.7,74.4,1.5,3.1,3.9,2.0,0.4,13.7,1.0,2896.0
2022,England,39.0,76.0,88.4,96.7,67.4,0.9,3.6,6.2,5.4,4.6,11.1,0.8,27652.0
2022,Wales,47.0,85.3,95.1,99.1,78.1,0.3,2.4,5.1,1.6,0.8,11.1,0.6,1377.0
2022,Scotland,44.4,80.8,92.2,97.6,70.2,0.3,3.0,9.0,3.6,0.4,12.7,0.8,2722.0
2022,Great Britain,39.8,76.9,89.0,96.8,68.1,0.8,3.5,6.4,5.1,4.1,11.3,0.7,31750.0
