Year,Region of workplace,Vehicles,Amount of people
2021,North East,Bicycle,2.5
2021,North East,Bus or coach,6.6
2021,North East,National rail,1.0
2021,North East,Other rail,2.5
2021,North East,Walk,10.5
2021,North East,Other modes,1.0
2021,North West,Car,73.3
2021,North West,Motorcycle,0.4
2021,North West,Bicycle,2.5
2021,North West,Bus or coach,6.9
2021,North West,National rail,3.6
2021,North West,Other rail,1.7
2021,North West,Walk,10.6
2021,North West,Other modes,1.1
2021,Yorkshire and The Humber,Car,74.8
2021,Yorkshire and The Humber,Motorcycle,0.4
2021,Yorkshire and The Humber,Bicycle,3.6
2021,Yorkshire and The Humber,Bus or coach,4.7
2021,Yorkshire and The Humber,National rail,2.0
2021,Yorkshire and The Humber,Other rail,0.5
2021,Yorkshire and The Humber,Walk,12.3
2021,Yorkshire and The Humber,Other modes,1.3
2021,East Midlands,Car,79.8
2021,East Midlands,Motorcycle,0.1
2021,East Midlands,Bicycle,3.5
2021,East Midlands,Bus or coach,5.0
2021,East Midlands,National rail,0.8
2021,East Midlands,Other rail,0.5
2021,East Midlands,Walk,9.7
2021,East Midlands,Other modes,0.5
2021,West Midlands,Car,78.5
2021,West Midlands,Motorcycle,0.9
2021,West Midlands,Bicycle,1.8
2021,West Midlands,Bus or coach,6.7
2021,West Midlands,National rail,2.0
2021,West Midlands,Other rail,0.8
2021,West Midlands,Walk,8.2
2021,West Midlands,Other modes,0.9
2021,Eastern,Car,76.5
2021,Eastern,Motorcycle,0.8
2021,Eastern,Bicycle,4.9
2021,Eastern,Bus or coach,3.6
2021,Eastern,National rail,2.1
2021,Eastern,Other rail,0.5
2021,Eastern,Walk,10.5
2021,Eastern,Other modes,1.0
2021,London,Car,27.3
2021,London,Motorcycle,0.7
2021,London,Bicycle,6.7
2021,London,Bus or coach,11.9
2021,London,National rail,20.3
2021,London,Other rail,21.6
2021,London,Walk,10.2
2021,London,Other modes,1.2
2021,South East,Car,74.7
2021,South East,Motorcycle,0.5
2021,South East,Bicycle,3.0
2021,South East,Bus or coach,3.2
2021,South East,National rail,4.2
2021,South East,Other rail,0.5
2021,South East,Walk,13.4
2021,South East,Other modes,0.7
2021,South West,Car,75.0
2021,South West,Motorcycle,1.0
2021,South West,Bicycle,4.0
2021,South West,Bus or coach,3.7
2021,South West,National rail,1.8
2021,South West,Other rail,1.0
2021,South West,Walk,13.5
2021,South West,Other modes,0.9
2021,Wales,Car,81.5
2021,Wales,Motorcycle,0.5
2021,Wales,Bicycle,0.5
2021,Wales,Bus or coach,4.1
2021,Wales,National rail,1.8
2021,Wales,Other rail,0.5
2021,Wales,Walk,9.5
2021,Wales,Other modes,1.5
2021,Scotland,Car,68.0
2021,Scotland,Motorcycle,0.4
2021,Scotland,Bicycle,2.9
2021,Scotland,Bus or coach,8.3
2021,Scotland,National rail,4.2
2021,Scotland,Other rail,0.5
2021,Scotland,Walk,14.3
2021,Scotland,Other modes,1.0
2021,Northern Ireland,Car,9.8
2021,Northern Ireland,Motorcycle,1.5
2021,Northern Ireland,Bicycle,9.1
2021,Northern Ireland,Bus or coach,7.4
2021,Northern Ireland,National rail,34.4
2021,Northern Ireland,Other rail,31.5
2021,Northern Ireland,Walk,6.5
2021,Northern Ireland,Other modes,0.5
2022,North East,Car,76.0
2022,North East,Motorcycle,0.5
2022,North East,Bicycle,1.6
2022,North East,Bus or coach,7.7
2022,North East,National rail,0.8
2022,North East,Other rail,2.3
2022,North East,Walk,10.5
2022,North East,Other modes,0.6
2022,North West,Car,75.6
2022,North West,Motorcycle,1.0
2022,North West,Bicycle,2.3
2022,North West,Bus or coach,5.1
2022,North West,National rail,3.6
2022,North West,Other rail,1.5
2022,North West,Walk,9.8
2022,North West,Other modes,1.1
2022,Yorkshire and The Humber,Car,74.8
2022,Yorkshire and The Humber,Motorcycle,0.6
2022,Yorkshire and The Humber,Bicycle,2.9
2022,Yorkshire and The Humber,Bus or coach,6.9
2022,Yorkshire and The Humber,National rail,1.7
2022,Yorkshire and The Humber,Other rail,0.4
2022,Yorkshire and The Humber,Walk,12.0
2022,Yorkshire and The Humber,Other modes,0.7
2022,East Midlands,Car,78.3
2022,East Midlands,Motorcycle,1.4
2022,East Midlands,Bicycle,3.0
2022,East Midlands,Bus or coach,5.0
2022,East Midlands,National rail,1.3
2022,East Midlands,Other rail,0.4
2022,East Midlands,Walk,9.9
2022,East Midlands,Other modes,0.7
2022,West Midlands,Car,77.9
2022,West Midlands,Motorcycle,0.5
2022,West Midlands,Bicycle,2.2
2022,West Midlands,Bus or coach,5.5
2022,West Midlands,National rail,3.0
2022,West Midlands,Other rail,0.2
2022,West Midlands,Walk,9.7
2022,West Midlands,Other modes,1.0
2022,Eastern,Car,76.7
2022,Eastern,Motorcycle,0.3
2022,Eastern,Bicycle,4.3
2022,Eastern,Bus or coach,3.8
2022,Eastern,National rail,2.8
2022,Eastern,Other rail,0.6
2022,Eastern,Walk,11.2
2022,Eastern,Other modes,0.3
2022,London,Car,29.0
2022,London,Motorcycle,0.9
2022,London,Bicycle,5.8
2022,London,Bus or coach,12.5
2022,London,National rail,17.3
2022,London,Other rail,23.1
2022,London,Walk,10.9
2022,London,Other modes,0.5
2022,South East,Car,73.7
2022,South East,Motorcycle,0.9
2022,South East,Bicycle,4.0
2022,South East,Bus or coach,3.6
2022,South East,National rail,4.8
2022,South East,Other rail,0.6
2022,South East,Walk,11.5
2022,South East,Other modes,0.9
2022,South West,Car,74.4
2022,South West,Motorcycle,1.5
2022,South West,Bicycle,3.1
2022,South West,Bus or coach,3.9
2022,South West,National rail,2.0
2022,South West,Other rail,0.4
2022,South West,Walk,13.7
2022,South West,Other modes,1.0
2022,Wales,Car,78.1
2022,Wales,Motorcycle,0.3
2022,Wales,Bicycle,2.4
2022,Wales,Bus or coach,5.1
2022,Wales,National rail,1.6
2022,Wales,Other rail,0.8
2022,Wales,Walk,11.1
2022,Wales,Other modes,0.6
2022,Scotland,Car,70.2
2022,Scotland,Motorcycle,0.3
2022,Scotland,Bicycle,3.0
2022,Scotland,Bus or coach,9.0
2022,Scotland,National rail,3.6
2022,Scotland,Other rail,0.4
2022,Scotland,Walk,12.7
2022,Scotland,Other modes,0.8
2022,Northern Ireland,Car,11.1
2022,Northern Ireland,Motorcycle,0.8
2022,Northern Ireland,Bicycle,7.1
2022,Northern Ireland,Bus or coach,9.5
2022,Northern Ireland,National rail,28.0
2022,Northern Ireland,Other rail,35.3
2022,Northern Ireland,Walk,7.8
2022,Northern Ireland,Other modes,0.4
